source,target,APlevel,value,clusterId,sourcefilename,targetfilename,clustersize,sourceTopWords,targetTopWords
doc1,e13,2,-1,0,04290.txt,00013.txt,10,insurance;new;investors;says;bonds,cable;dealers;nasdaq;printer;tax
doc10,e13,2,-1,0,03157.txt,00013.txt,197,index;stock;jones;blue;dow,a.m.;united;copper;72;states
doc100,e109,2,-1,1,03384.txt,00109.txt,172,said;insider;dutch;bolswessanen;trading,st.;credit;box;battle;mountain
doc101,e109,2,-1,1,01364.txt,00109.txt,172,inside;advertising;intel;stores;internet,st.;credit;box;battle;mountain
doc102,e87,2,-1,2,00090.txt,00087.txt,25,work;reform;welfare;years;people,welfare;tax;capital;windows;u.n.
doc103,e109,2,-1,1,00582.txt,00109.txt,133,million;contract;year;biakabutuka;panthers,p.m.;introduction;pan;asean;remarks
doc104,e109,2,-1,1,03563.txt,00109.txt,45,million;said;sales;year;equipment,family;ife;vastcomm;true;comsat
doc105,e109,2,-1,1,01985.txt,00109.txt,14,swiss;billion;francs;net;csh,construction;deficit;swiss;french;auchan
doc106,e109,2,-1,1,01787.txt,00109.txt,14,losec;sales;astra;u.s.;drug,kronor;drug;shares;astra;fell
doc107,e109,2,-1,1,01965.txt,00109.txt,133,old;new;says;ad;pan,p.m.;introduction;pan;asean;remarks
doc108,e109,2,-1,1,00398.txt,00109.txt,1,said;deal;houston;suns;phoenix,said;houston;deal;suns;phoenix
doc11,e13,2,-1,0,01058.txt,00013.txt,172,'commonwealth;said;aluminum;castech''s;castech',st.;credit;box;battle;mountain
doc110,e109,2,-1,1,00910.txt,00109.txt,45,'said;quarter.;loss;amdahl;amdahl''s',family;ife;vastcomm;true;comsat
doc111,e109,2,-1,1,01221.txt,00109.txt,133,passengers;airlines;seats;slow;u.s.,p.m.;introduction;pan;asean;remarks
doc112,e109,2,-1,1,03232.txt,00109.txt,133,field;bowl;said;teague;kicked,p.m.;introduction;pan;asean;remarks
doc113,e109,2,-1,1,04413.txt,00109.txt,172,insurance;life;american;acquisitions;conseco,st.;credit;box;battle;mountain
doc114,e109,2,-1,1,00073.txt,00109.txt,172,marketing;asia;says;ford;taurus,st.;credit;box;battle;mountain
doc115,e109,2,-1,1,02311.txt,00109.txt,2,'managers;market;taiwan;taiwan''s;fund','taiwan;taiwan''s;fund;managers;index'
doc116,e109,2,-1,1,00480.txt,00109.txt,172,diamonds;argyle;diamond;pink;stones,st.;credit;box;battle;mountain
doc117,e109,2,-1,1,02547.txt,00109.txt,45,share;said;conrail;million;fully,family;ife;vastcomm;true;comsat
doc118,e109,2,-1,1,03181.txt,00109.txt,172,consumption;production;u.s.;says.;china,st.;credit;box;battle;mountain
doc119,e109,2,-1,1,03547.txt,00109.txt,197,rupiah;stock;said;investors;volume,a.m.;united;copper;72;states
doc12,e13,2,-1,0,01773.txt,00013.txt,5,japan;vending;coca-cola;distribution;machines,'coca-cola;israel''s;latham;said;volume'
doc120,e127,2,-1,3,02841.txt,00127.txt,169,community;securities;construction;rochester;mr.,blue;mfs;ladonna;juvenile;mose
doc121,e127,2,-1,3,03875.txt,00127.txt,197,united;annual;stock;cities;atmos,a.m.;united;copper;72;states
doc122,e127,2,-1,3,00484.txt,00127.txt,16,screen;software;blind;accessibility;says.,coffee;air;cases;doctors;heart
doc123,e127,2,-1,3,02084.txt,00127.txt,23,news;dollar;iraq;u.s.;trading,satellite;inflation;bank;cut;industry
doc124,e127,2,-1,3,01079.txt,00127.txt,172,million;drugs;ceclor;said.;dura,st.;credit;box;battle;mountain
doc125,e127,2,-1,3,02923.txt,00127.txt,25,new;gen.;carrell;government;party,welfare;tax;capital;windows;u.n.
doc126,e127,2,-1,3,00585.txt,00127.txt,172,programs;said;companies;java;fund,st.;credit;box;battle;mountain
doc128,e127,2,-1,3,04038.txt,00127.txt,22,'shares;stock;2011;boatmen''s;options',million;cattle;u.s.;gruma;pence
doc129,e127,2,-1,3,00489.txt,00127.txt,172,'systems;digital''s;said;technology;companies',st.;credit;box;battle;mountain
doc130,e127,2,-1,3,03891.txt,00127.txt,25,labor;president;democrats;new;political,welfare;tax;capital;windows;u.n.
doc131,e13,2,-1,0,04409.txt,00013.txt,133,chairman;president;conagra;paulk;mr.,p.m.;introduction;pan;asean;remarks
doc132,e13,2,-1,0,04410.txt,00013.txt,172,mail;said;aol;cyber;electronic,st.;credit;box;battle;mountain
doc133,e127,2,-1,3,00976.txt,00127.txt,10,asked;information;new;people;mobile,cable;dealers;nasdaq;printer;tax
doc134,e127,2,-1,3,02176.txt,00127.txt,3,said;isuzu;advertising;ad;consumer,said;isuzu;advertising;ad;consumer
doc135,e127,2,-1,3,02548.txt,00127.txt,197,shares;valued;billion;1.3;jump,a.m.;united;copper;72;states
doc136,e127,2,-1,3,00304.txt,00127.txt,133,'polk;said;barney''s;creditors;mr.',p.m.;introduction;pan;asean;remarks
doc137,e127,2,-1,3,00965.txt,00127.txt,197,airport;food;says;islanders;chinese,a.m.;united;copper;72;states
doc138,e127,2,-1,3,03971.txt,00127.txt,22,shares;fell;million;stock;singapore,million;cattle;u.s.;gruma;pence
doc139,e127,2,-1,3,01718.txt,00127.txt,172,home;food;sales;american;products,st.;credit;box;battle;mountain
doc14,e13,2,-1,0,01953.txt,00013.txt,197,united;levine;states;points;u.s.,a.m.;united;copper;72;states
doc140,e127,2,-1,3,03984.txt,00127.txt,197,december;cents;october;corn;oil,a.m.;united;copper;72;states
